Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
Two or more races,English,38,63,6584
White,English,46,64,6584
All students,Science,45,53,6584
Asian,Science,50,78,6584
Hispanic,Science,43,40,6584
All students,Math,24,37,5098
Hispanic,Math,25,24,5098
White,Math,25,53,5098
Black,Math,0,18,5098
All students,English,34,48,5098
Hispanic,English,33,37,5098
White,English,58,64,5098
Black,English,6,31,5098
All students,Science,48,53,5098
Hispanic,Science,49,40,5098
All students,Math,46,37,25114
Hispanic,Math,44,24,25114
All students,English,68,48,25114
Hispanic,English,66,37,25114
All students,Science,62,61,25114
Hispanic,Science,58,49,25114
All students,English,67,48,6002
Hispanic,English,56,37,6002
White,English,84,64,6002
Black,English,69,31,6002
Filipino,English,85,70,6002
Asian,English,64,75,6002
Pacific Islander,English,53,42,6002
Two or more races,English,60,63,6002
All students,Math,38,37,6002
Hispanic,Math,29,24,6002
White,Math,48,53,6002
Black,Math,30,18,6002
Filipino,Math,65,57,6002
Asian,Math,64,72,6002
Pacific Islander,Math,35,30,6002
Two or more races,Math,33,52,6002
All students,Science,56,50,6002
Hispanic,Science,47,37,6002
White,Science,76,68,6002
Black,Science,37,32,6002
Filipino,Science,54,67,6002
Asian,Science,90,76,6002
Pacific Islander,Science,10,41,6002
Two or more races,Science,71,66,6002
All students,Math,34,37,6285
Hispanic,Math,27,24,6285
Filipino,Math,61,57,6285
Two or more races,Math,55,52,6285
All students,English,38,48,6285
Hispanic,English,32,37,6285
Filipino,English,64,70,6285
Two or more races,English,55,63,6285
All students,Science,38,61,6285
Hispanic,Science,32,49,6285
Filipino,Science,61,79,6285
All students,Math,23,37,1262
Hispanic,Math,24,24,1262
Black,Math,17,18,1262
White,Math,25,53,1262
Asian,Math,43,72,1262
All students,English,38,48,1262
Hispanic,English,39,37,1262
Black,English,23,31,1262
White,English,38,64,1262
Asian,English,65,75,1262
All students,Science,45,61,1262
Hispanic,Science,45,49,1262
Black,Science,27,43,1262
All students,Science,51,50,5926
White,Science,58,68,5926
Hispanic,Science,45,37,5926
Two or more races,Science,62,66,5926
Black,Science,15,32,5926
Asian,Science,31,76,5926
All students,English,65,48,5926
White,English,69,64,5926
Hispanic,English,60,37,5926
Two or more races,English,71,63,5926
Black,English,61,31,5926
Asian,English,58,75,5926
All students,Math,34,37,5926
White,Math,45,53,5926
Hispanic,Math,20,24,5926
Two or more races,Math,48,52,5926
Black,Math,13,18,5926
Asian,Math,50,72,5926
All students,Math,74,37,5913
White,Math,70,53,5913
All students,English,93,48,5913
White,English,91,64,5913
All students,Science,92,53,5913
White,Science,92,74,5913
All students,Math,21,37,6083
Hispanic,Math,20,24,6083
Filipino,Math,50,57,6083
All students,English,34,48,6083
Hispanic,English,33,37,6083
Filipino,English,62,70,6083
All students,Science,19,53,6083
Hispanic,Science,14,40,6083
All students,Science,75,50,25014
White,Science,80,68,25014
Hispanic,Science,63,37,25014
Black,Science,69,32,25014
Asian,Science,80,76,25014
Two or more races,Science,83,66,25014
Filipino,Science,93,67,25014
All students,English,85,48,25014
White,English,88,64,25014
Hispanic,English,81,37,25014
Asian,English,92,75,25014
Black,English,73,31,25014
Two or more races,English,73,63,25014
All students,Math,53,37,25014
White,Math,59,53,25014
Hispanic,Math,41,24,25014
Asian,Math,79,72,25014
Black,Math,33,18,25014
Two or more races,Math,45,52,25014
All students,Math,69,37,6038
White,Math,72,53,6038
Asian,Math,86,72,6038
Hispanic,Math,50,24,6038
Two or more races,Math,71,52,6038
Filipino,Math,67,57,6038
Black,Math,21,18,6038
All students,English,67,48,6038
White,English,68,64,6038
Asian,English,79,75,6038
Hispanic,English,59,37,6038
Two or more races,English,68,63,6038
Filipino,English,63,70,6038
Black,English,36,31,6038
All students,Science,84,53,6038
White,Science,85,74,6038
Asian,Science,91,78,6038
Hispanic,Science,85,40,6038
All students,Math,39,37,124
Hispanic,Math,32,24,124
Asian,Math,68,72,124
Filipino,Math,61,57,124
Black,Math,33,18,124
White,Math,52,53,124
Pacific Islander,Math,43,30,124
All students,English,48,48,124
Hispanic,English,42,37,124
Asian,English,70,75,124
Filipino,English,72,70,124
Black,English,39,31,124
White,English,59,64,124
Pacific Islander,English,52,42,124
All students,Science,53,61,124
Hispanic,Science,46,49,124
Asian,Science,73,85,124
Filipino,Science,84,79,124
Black,Science,46,43,124
Pacific Islander,Science,50,54,124
White,Science,73,78,124
All students,Science,60,50,5930
White,Science,63,68,5930
Hispanic,Science,58,37,5930
Two or more races,Science,44,66,5930
All students,Math,53,37,5930
White,Math,58,53,5930
Hispanic,Math,42,24,5930
Two or more races,Math,56,52,5930
All students,English,82,48,5930
White,English,83,64,5930
Hispanic,English,82,37,5930
Two or more races,English,87,63,5930
All students,Math,23,37,5977
Hispanic,Math,16,24,5977
White,Math,35,53,5977
Black,Math,31,18,5977
Two or more races,Math,19,52,5977
All students,English,39,48,5977
Hispanic,English,32,37,5977
White,English,61,64,5977
Black,English,44,31,5977
Two or more races,English,33,63,5977
All students,Science,43,61,5977
Hispanic,Science,32,49,5977
White,Science,67,78,5977
Black,Science,54,43,5977
All students,Math,42,37,24784
White,Math,52,53,24784
Hispanic,Math,29,24,24784
Two or more races,Math,40,52,24784
Black,Math,41,18,24784
All students,English,57,48,24784
White,English,69,64,24784
Hispanic,English,41,37,24784
Two or more races,English,50,63,24784
Black,English,65,31,24784
All students,Science,61,57,24784
White,Science,63,74,24784
Hispanic,Science,51,44,24784
All students,Math,31,37,6254
Hispanic,Math,35,24,6254
Black,Math,17,18,6254
Asian,Math,50,72,6254
All students,English,45,48,6254
Hispanic,English,45,37,6254
Black,English,37,31,6254
Asian,English,60,75,6254
All students,Science,61,53,6254
Hispanic,Science,68,40,6254
Black,Science,55,36,6254
All students,Math,28,37,6318
Hispanic,Math,25,24,6318
White,Math,46,53,6318
All students,English,33,48,6318
Hispanic,English,31,37,6318
White,English,43,64,6318
All students,Science,12,53,6318
Hispanic,Science,12,40,6318
All students,Math,51,37,6056
White,Math,56,53,6056
Hispanic,Math,33,24,6056
Two or more races,Math,24,52,6056
All students,English,54,48,6056
White,English,57,64,6056
Hispanic,English,37,37,6056
Two or more races,English,38,63,6056
All students,Science,68,53,6056
White,Science,69,74,6056
All students,Math,29,37,5918
Hispanic,Math,22,24,5918
White,Math,49,53,5918
Filipino,Math,36,57,5918
Two or more races,Math,43,52,5918
All students,English,46,48,5918
Hispanic,English,38,37,5918
White,English,68,64,5918
Filipino,English,64,70,5918
Two or more races,English,50,63,5918
All students,Science,43,61,5918
Hispanic,Science,33,49,5918
White,Science,67,78,5918
All students,Math,50,37,6212
Filipino,Math,67,57,6212
Hispanic,Math,41,24,6212
Black,Math,27,18,6212
Two or more races,Math,55,52,6212
Asian,Math,88,72,6212
All students,English,63,48,6212
Filipino,English,81,70,6212
Hispanic,English,62,37,6212
Black,English,41,31,6212
Two or more races,English,50,63,6212
Asian,English,73,75,6212
All students,Science,76,53,6212
Filipino,Science,81,72,6212
Hispanic,Science,76,40,6212
Black,Science,63,36,6212
All students,Math,32,37,6055
Hispanic,Math,26,24,6055
White,Math,41,53,6055
All students,English,51,48,6055
Hispanic,English,42,37,6055
White,English,61,64,6055
All students,Science,71,53,6055
Hispanic,Science,53,40,6055
White,Science,86,74,6055
All students,Math,42,37,6170
Hispanic,Math,27,24,6170
White,Math,58,53,6170
All students,English,48,48,6170
Hispanic,English,30,37,6170
White,English,70,64,6170
All students,Science,56,53,6170
Hispanic,Science,60,40,6170
All students,Math,67,37,12451
Hispanic,Math,58,24,12451
Filipino,Math,75,57,12451
White,Math,82,53,12451
Asian,Math,88,72,12451
Two or more races,Math,63,52,12451
Black,Math,53,18,12451
All students,English,74,48,12451
Hispanic,English,66,37,12451
Filipino,English,82,70,12451
White,English,83,64,12451
Asian,English,96,75,12451
Two or more races,English,77,63,12451
Black,English,41,31,12451
All students,Science,75,53,12451
Hispanic,Science,65,40,12451
Filipino,Science,90,72,12451
White,Science,83,74,12451
All students,Math,26,37,5838
Hispanic,Math,21,24,5838
Filipino,Math,59,57,5838
Black,Math,29,18,5838
Two or more races,Math,54,52,5838
All students,English,49,48,5838
Hispanic,English,41,37,5838
Filipino,English,100,70,5838
Black,English,67,31,5838
Two or more races,English,58,63,5838
All students,Science,59,53,5838
Hispanic,Science,56,40,5838
All students,Math,30,37,5936
White,Math,38,53,5936
Hispanic,Math,29,24,5936
Native American or Native Alaskan,Math,7,25,5936
All students,English,37,48,5936
White,English,46,64,5936
Hispanic,English,27,37,5936
Native American or Native Alaskan,English,27,36,5936
All students,Science,62,53,5936
White,Science,65,74,5936
All students,English,59,48,11103
White,English,61,64,11103
Hispanic,English,57,37,11103
Black,English,23,31,11103
Asian,English,65,75,11103
Native American or Native Alaskan,English,8,36,11103
Two or more races,English,61,63,11103
All students,Math,36,37,11103
White,Math,38,53,11103
Hispanic,Math,30,24,11103
Black,Math,14,18,11103
Asian,Math,64,72,11103
Native American or Native Alaskan,Math,0,25,11103
Two or more races,Math,33,52,11103
All students,Science,67,55,11103
White,Science,72,73,11103
Hispanic,Science,60,42,11103
Two or more races,Science,64,71,11103
All students,English,70,48,462
White,English,68,64,462
Hispanic,English,62,37,462
Asian,English,85,75,462
Two or more races,English,73,63,462
All students,Math,68,37,462
White,Math,68,53,462
Hispanic,Math,60,24,462
Asian,Math,87,72,462
Two or more races,Math,56,52,462
All students,Science,67,53,462
White,Science,73,74,462
Hispanic,Science,44,40,462
Asian,Science,91,78,462
All students,Math,20,37,5957
Hispanic,Math,19,24,5957
White,Math,24,53,5957
Black,Math,19,18,5957
Two or more races,Math,18,52,5957
All students,English,35,48,5957
Hispanic,English,33,37,5957
White,English,65,64,5957
Black,English,19,31,5957
Two or more races,English,55,63,5957
All students,Science,27,53,5957
Hispanic,Science,28,40,5957
All students,English,40,48,5959
Hispanic,English,34,37,5959
White,English,69,64,5959
Black,English,9,31,5959
Two or more races,English,67,63,5959
All students,Math,27,37,5959
Hispanic,Math,21,24,5959
White,Math,52,53,5959
Black,Math,5,18,5959
Two or more races,Math,60,52,5959
All students,Science,26,53,5959
Hispanic,Science,23,40,5959
All students,Math,29,37,3928
Hispanic,Math,20,24,3928
White,Math,42,53,3928
Asian,Math,71,72,3928
All students,English,32,48,3928
Hispanic,English,28,37,3928
White,English,31,64,3928
Asian,English,67,75,3928
All students,Science,55,53,3928
Hispanic,Science,45,40,3928
All students,Math,58,37,6033
White,Math,59,53,6033
Asian,Math,76,72,6033
Hispanic,Math,30,24,6033
Two or more races,Math,42,52,6033
Filipino,Math,56,57,6033
All students,English,67,48,6033
White,English,68,64,6033
Asian,English,79,75,6033
Hispanic,English,58,37,6033
Two or more races,English,54,63,6033
Filipino,English,63,70,6033
All students,Science,85,53,6033
White,Science,88,74,6033
Asian,Science,88,78,6033
All students,Math,31,37,1602
Hispanic,Math,32,24,1602
Black,Math,20,18,1602
All students,English,36,48,1602
Hispanic,English,38,37,1602
Black,English,24,31,1602
All students,Science,59,53,1602
Hispanic,Science,59,40,1602
Black,Science,64,36,1602
All students,Math,95,37,6179
White,Math,95,53,6179
Hispanic,Math,93,24,6179
Asian,Math,100,72,6179
Two or more races,Math,100,52,6179
All students,English,94,48,6179
White,English,94,64,6179
Hispanic,English,91,37,6179
Asian,English,100,75,6179
Two or more races,English,100,63,6179
All students,Science,96,53,6179
White,Science,96,74,6179
Hispanic,Science,93,40,6179
All students,Science,81,50,6180
White,Science,93,68,6180
Hispanic,Science,59,37,6180
Asian,Science,80,76,6180
Two or more races,Science,91,66,6180
All students,Math,56,37,6180
White,Math,69,53,6180
Hispanic,Math,28,24,6180
Asian,Math,96,72,6180
Two or more races,Math,67,52,6180
All students,English,74,48,6180
White,English,85,64,6180
Hispanic,English,51,37,6180
Asian,English,100,75,6180
Two or more races,English,86,63,6180
All students,Math,21,37,6299
Hispanic,Math,21,24,6299
All students,English,29,48,6299
Hispanic,English,29,37,6299
All students,Science,30,53,6299
Hispanic,Science,29,40,6299
All students,Math,46,37,5728
Hispanic,Math,43,24,5728
White,Math,53,53,5728
All students,English,50,48,5728
Hispanic,English,47,37,5728
White,English,63,64,5728
All students,Science,51,53,5728
Hispanic,Science,50,40,5728
All students,English,40,48,2229
Hispanic,English,40,37,2229
Black,English,31,31,2229
White,English,64,64,2229
All students,Math,40,37,2229
Hispanic,Math,40,24,2229
Black,Math,37,18,2229
White,Math,45,53,2229
All students,Science,60,53,2229
Hispanic,Science,56,40,2229
Black,Science,88,36,2229
All students,Math,65,37,6208
White,Math,76,53,6208
Hispanic,Math,36,24,6208
Two or more races,Math,80,52,6208
Asian,Math,88,72,6208
Black,Math,29,18,6208
All students,English,72,48,6208
White,English,82,64,6208
Hispanic,English,46,37,6208
Two or more races,English,85,63,6208
Asian,English,90,75,6208
Black,English,64,31,6208
All students,Science,74,61,6208
White,Science,85,78,6208
Hispanic,Science,53,49,6208
Two or more races,Science,89,75,6208
Asian,Science,83,85,6208
All students,Science,37,50,24630
Hispanic,Science,40,37,24630
All students,Math,3,37,24630
Hispanic,Math,5,24,24630
White,Math,0,53,24630
All students,English,21,48,24630
Hispanic,English,16,37,24630
White,English,29,64,24630
All students,Math,20,37,2664
Hispanic,Math,18,24,2664
Asian,Math,52,72,2664
All students,English,32,48,2664
Hispanic,English,31,37,2664
Asian,English,55,75,2664
All students,Science,35,53,2664
Hispanic,Science,33,40,2664
All students,Math,66,37,6044
White,Math,65,53,6044
Asian,Math,88,72,6044
Hispanic,Math,42,24,6044
Filipino,Math,67,57,6044
Two or more races,Math,80,52,6044
Black,Math,30,18,6044
All students,Science,75,50,6044
White,Science,74,68,6044
Asian,Science,83,76,6044
Hispanic,Science,67,37,6044
Filipino,Science,76,67,6044
Two or more races,Science,81,66,6044
Black,Science,63,32,6044
All students,English,83,48,6044
White,English,85,64,6044
Asian,English,82,75,6044
Hispanic,English,74,37,6044
Filipino,English,87,70,6044
Two or more races,English,87,63,6044
Black,English,77,31,6044
All students,English,43,48,6296
Hispanic,English,43,37,6296
All students,Math,14,37,6296
Hispanic,Math,14,24,6296
All students,Science,36,50,6296
Hispanic,Science,36,37,6296
All students,Science,42,50,5907
Hispanic,Science,33,37,5907
White,Science,71,68,5907
Asian,Science,96,76,5907
Black,Science,32,32,5907
Filipino,Science,64,67,5907
All students,English,66,48,5907
Hispanic,English,61,37,5907
White,English,76,64,5907
Asian,English,82,75,5907
Black,English,88,31,5907
Filipino,English,85,70,5907
All students,Math,27,37,5907
Hispanic,Math,20,24,5907
White,Math,41,53,5907
Asian,Math,65,72,5907
Black,Math,50,18,5907
Filipino,Math,46,57,5907
All students,English,40,48,6181
Hispanic,English,36,37,6181
White,English,47,64,6181
All students,Math,33,37,6181
Hispanic,Math,29,24,6181
White,Math,53,53,6181
All students,Science,43,53,6181
Hispanic,Science,31,40,6181
All students,Math,39,37,979
White,Math,44,53,979
Hispanic,Math,26,24,979
All students,English,50,48,979
White,English,56,64,979
Hispanic,English,40,37,979
All students,Science,48,57,979
White,Science,54,76,979
All students,Math,45,37,5941
White,Math,49,53,5941
Hispanic,Math,34,24,5941
Two or more races,Math,41,52,5941
All students,English,59,48,5941
White,English,61,64,5941
Hispanic,English,50,37,5941
Two or more races,English,53,63,5941
All students,Science,87,53,5941
White,Science,90,74,5941
Hispanic,Science,77,40,5941
All students,Math,28,37,14557
Hispanic,Math,20,24,14557
White,Math,37,53,14557
Black,Math,10,18,14557
Filipino,Math,64,57,14557
Two or more races,Math,28,52,14557
All students,English,53,48,14557
Hispanic,English,50,37,14557
White,English,56,64,14557
Black,English,33,31,14557
Filipino,English,71,70,14557
Two or more races,English,60,63,14557
All students,Science,50,55,14557
Hispanic,Science,42,42,14557
White,Science,68,73,14557
All students,Math,78,37,3965
White,Math,80,53,3965
Hispanic,Math,72,24,3965
Asian,Math,83,72,3965
Two or more races,Math,67,52,3965
All students,English,78,48,3965
White,English,81,64,3965
Hispanic,English,74,37,3965
Asian,English,83,75,3965
Two or more races,English,58,63,3965
All students,Science,96,53,3965
White,Science,98,74,3965
All students,Math,31,37,5820
Hispanic,Math,28,24,5820
White,Math,34,53,5820
Black,Math,27,18,5820
All students,English,30,48,5820
Hispanic,English,27,37,5820
White,English,31,64,5820
Black,English,30,31,5820
All students,Science,24,53,5820
Hispanic,Science,25,40,5820
White,Science,15,74,5820
Black,Science,33,36,5820
All students,Math,64,37,6071
White,Math,65,53,6071
Hispanic,Math,55,24,6071
Two or more races,Math,75,52,6071
Asian,Math,82,72,6071
All students,English,70,48,6071
White,English,70,64,6071
Hispanic,English,67,37,6071
Two or more races,English,78,63,6071
Asian,English,91,75,6071
All students,Science,77,57,6071
White,Science,82,76,6071
Hispanic,Science,67,44,6071
Two or more races,Science,82,75,6071
All students,Math,61,37,12035
Hispanic,Math,49,24,12035
Filipino,Math,74,57,12035
White,Math,73,53,12035
Asian,Math,92,72,12035
Black,Math,50,18,12035
Two or more races,Math,76,52,12035
All students,English,72,48,12035
Hispanic,English,63,37,12035
Filipino,English,86,70,12035
White,English,89,64,12035
Asian,English,83,75,12035
Black,English,54,31,12035
Two or more races,English,76,63,12035
All students,Science,89,53,12035
Hispanic,Science,84,40,12035
Filipino,Science,100,72,12035
White,Science,94,74,12035
All students,Math,28,37,5822
White,Math,38,53,5822
Hispanic,Math,20,24,5822
All students,English,37,48,5822
White,English,49,64,5822
Hispanic,English,25,37,5822
All students,Science,47,53,5822
White,Science,63,74,5822
Hispanic,Science,31,40,5822
All students,Math,26,37,31646
Hispanic,Math,14,24,31646
White,Math,47,53,31646
All students,English,45,48,31646
Hispanic,English,30,37,31646
White,English,67,64,31646
All students,Science,58,53,31646
White,Science,83,74,31646
All students,Math,37,37,5850
Hispanic,Math,35,24,5850
White,Math,60,53,5850
Filipino,Math,50,57,5850
Black,Math,15,18,5850
All students,English,61,48,5850
Hispanic,English,60,37,5850
White,English,65,64,5850
Filipino,English,79,70,5850
Black,English,38,31,5850
All students,Science,76,53,5850
Hispanic,Science,80,40,5850
All students,English,58,48,5967
White,English,68,64,5967
Hispanic,English,48,37,5967
Two or more races,English,36,63,5967
Black,English,45,31,5967
All students,Math,47,37,5967
White,Math,57,53,5967
Hispanic,Math,40,24,5967
Two or more races,Math,24,52,5967
Black,Math,10,18,5967
All students,Science,54,53,5967
White,Science,57,74,5967
Hispanic,Science,62,40,5967
All students,Math,33,37,2663
Hispanic,Math,31,24,2663
Asian,Math,81,72,2663
All students,English,46,48,2663
Hispanic,English,45,37,2663
Asian,English,88,75,2663
All students,Science,38,57,2663
Hispanic,Science,35,44,2663
All students,English,81,48,6039
White,English,82,64,6039
Asian,English,88,75,6039
Hispanic,English,73,37,6039
Filipino,English,83,70,6039
Black,English,73,31,6039
Two or more races,English,81,63,6039
All students,Math,57,37,6039
White,Math,59,53,6039
Asian,Math,82,72,6039
Hispanic,Math,38,24,6039
Filipino,Math,61,57,6039
Black,Math,30,18,6039
Two or more races,Math,42,52,6039
All students,Science,77,50,6039
White,Science,85,68,6039
Asian,Science,81,76,6039
Hispanic,Science,58,37,6039
Filipino,Science,80,67,6039
Black,Science,44,32,6039
Two or more races,Science,75,66,6039
All students,Math,24,37,5954
Hispanic,Math,21,24,5954
Black,Math,27,18,5954
White,Math,37,53,5954
Two or more races,Math,31,52,5954
Asian,Math,21,72,5954
All students,English,39,48,5954
Hispanic,English,38,37,5954
Black,English,32,31,5954
White,English,41,64,5954
Two or more races,English,46,63,5954
Asian,English,54,75,5954
All students,Science,28,53,5954
Hispanic,Science,34,40,5954
All students,Math,58,37,7050
White,Math,66,53,7050
Hispanic,Math,47,24,7050
Two or more races,Math,58,52,7050
All students,English,57,48,7050
White,English,64,64,7050
Hispanic,English,44,37,7050
Two or more races,English,68,63,7050
All students,Science,66,53,7050
White,Science,71,74,7050
Hispanic,Science,46,40,7050
All students,Math,21,37,6328
Hispanic,Math,15,24,6328
White,Math,34,53,6328
Black,Math,24,18,6328
Two or more races,Math,45,52,6328
All students,English,50,48,6328
Hispanic,English,43,37,6328
White,English,68,64,6328
Black,English,56,31,6328
Two or more races,English,82,63,6328
All students,Science,31,50,6328
Hispanic,Science,21,37,6328
White,Science,70,68,6328
All students,English,27,48,5980
Hispanic,English,21,37,5980
White,English,38,64,5980
Native American or Native Alaskan,English,18,36,5980
All students,Math,12,37,5980
Hispanic,Math,10,24,5980
White,Math,16,53,5980
Native American or Native Alaskan,Math,10,25,5980
All students,Science,44,57,5980
Hispanic,Science,36,44,5980
White,Science,50,74,5980
All students,Math,76,37,25221
White,Math,83,53,25221
Hispanic,Math,64,24,25221
Black,Math,54,18,25221
Two or more races,Math,71,52,25221
All students,English,82,48,25221
White,English,83,64,25221
Hispanic,English,74,37,25221
Black,English,69,31,25221
Two or more races,English,93,63,25221
All students,Science,90,57,25221
White,Science,91,76,25221
Hispanic,Science,87,44,25221
All students,Math,58,37,5982
White,Math,62,53,5982
Hispanic,Math,45,24,5982
All students,English,69,48,5982
White,English,70,64,5982
Hispanic,English,63,37,5982
All students,Science,88,53,5982
White,Science,86,74,5982
All students,Math,52,37,5812
White,Math,58,53,5812
Hispanic,Math,42,24,5812
Black,Math,23,18,5812
Two or more races,Math,60,52,5812
Asian,Math,72,72,5812
Filipino,Math,33,57,5812
All students,English,66,48,5812
White,English,71,64,5812
Hispanic,English,57,37,5812
Black,English,46,31,5812
Two or more races,English,73,63,5812
Asian,English,88,75,5812
Filipino,English,67,70,5812
All students,Science,84,61,5812
White,Science,87,78,5812
Hispanic,Science,80,49,5812
Black,Science,86,43,5812
Two or more races,Science,95,75,5812
All students,Science,42,50,6207
Filipino,Science,59,67,6207
Hispanic,Science,37,37,6207
Black,Science,18,32,6207
Two or more races,Science,55,66,6207
White,Science,30,68,6207
All students,English,60,48,6207
Filipino,English,70,70,6207
Hispanic,English,47,37,6207
Black,English,53,31,6207
Two or more races,English,76,63,6207
All students,Math,34,37,6207
Filipino,Math,46,57,6207
Hispanic,Math,27,24,6207
Black,Math,20,18,6207
Two or more races,Math,32,52,6207
All students,Math,37,37,330
White,Math,37,53,330
Hispanic,Math,24,24,330
All students,English,53,48,330
White,English,52,64,330
Hispanic,English,41,37,330
All students,Science,72,53,330
White,Science,75,74,330
All students,Math,21,37,14624
Hispanic,Math,18,24,14624
Black,Math,17,18,14624
Asian,Math,40,72,14624
All students,English,32,48,14624
Hispanic,English,30,37,14624
Black,English,27,31,14624
Asian,English,62,75,14624
All students,Science,41,53,14624
Hispanic,Science,41,40,14624
Black,Science,28,36,14624
All students,Math,12,37,25265
Hispanic,Math,8,24,25265
White,Math,16,53,25265
Two or more races,Math,25,52,25265
All students,English,38,48,25265
Hispanic,English,32,37,25265
White,English,45,64,25265
Two or more races,English,50,63,25265
All students,Science,31,55,25265
Hispanic,Science,22,43,25265
White,Science,62,68,25265
All students,Math,36,37,5989
Hispanic,Math,33,24,5989
Filipino,Math,68,57,5989
Asian,Math,58,72,5989
All students,English,41,48,5989
Hispanic,English,38,37,5989
Filipino,English,67,70,5989
Asian,English,75,75,5989
All students,Science,41,53,5989
Hispanic,Science,32,40,5989
All students,English,58,48,31102
Hispanic,English,50,37,31102
White,English,78,64,31102
Asian,English,65,75,31102
Black,English,42,31,31102
All students,Math,30,37,31102
Hispanic,Math,24,24,31102
White,Math,44,53,31102
Asian,Math,38,72,31102
Black,Math,17,18,31102
All students,Science,47,50,31102
Hispanic,Science,39,37,31102
White,Science,63,68,31102
Asian,Science,63,76,31102
Black,Science,21,32,31102
All students,English,40,48,31974
White,English,46,64,31974
Hispanic,English,27,37,31974
Black,English,23,31,31974
Asian,English,83,75,31974
Two or more races,English,50,63,31974
All students,Math,24,37,31974
White,Math,27,53,31974
Hispanic,Math,15,24,31974
Black,Math,11,18,31974
Asian,Math,73,72,31974
Two or more races,Math,27,52,31974
All students,Science,45,55,31974
White,Science,52,73,31974
Hispanic,Science,37,42,31974
Black,Science,20,40,31974
All students,Math,89,37,6167
White,Math,90,53,6167
Hispanic,Math,84,24,6167
Two or more races,Math,85,52,6167
Asian,Math,100,72,6167
All students,English,88,48,6167
White,English,89,64,6167
Hispanic,English,81,37,6167
Two or more races,English,88,63,6167
Asian,English,95,75,6167
All students,Science,99,53,6167
White,Science,99,74,6167
All students,Math,17,37,5962
Hispanic,Math,16,24,5962
Black,Math,11,18,5962
White,Math,22,53,5962
All students,English,27,48,5962
Hispanic,English,24,37,5962
Black,English,33,31,5962
White,English,38,64,5962
All students,Science,27,53,5962
Hispanic,Science,25,40,5962
All students,English,78,48,13865
White,English,78,64,13865
Asian,English,85,75,13865
Hispanic,English,56,37,13865
Two or more races,English,91,63,13865
All students,Math,75,37,13865
White,Math,75,53,13865
Asian,Math,85,72,13865
Hispanic,Math,64,24,13865
Two or more races,Math,82,52,13865
All students,Science,85,53,13865
White,Science,85,74,13865
Asian,Science,73,78,13865
All students,Math,28,37,7461
Hispanic,Math,21,24,7461
White,Math,36,53,7461
Black,Math,27,18,7461
All students,English,29,48,7461
Hispanic,English,26,37,7461
White,English,32,64,7461
Black,English,27,31,7461
All students,Science,55,57,7461
Hispanic,Science,47,44,7461
White,Science,66,76,7461
All students,Math,38,37,6059
White,Math,46,53,6059
Hispanic,Math,26,24,6059
Two or more races,Math,42,52,6059
Black,Math,33,18,6059
All students,English,58,48,6059
White,English,65,64,6059
Hispanic,English,45,37,6059
Two or more races,English,63,63,6059
Black,English,80,31,6059
All students,Science,74,61,6059
White,Science,82,78,6059
Hispanic,Science,62,49,6059
Black,Science,82,43,6059
All students,Math,76,37,6040
White,Math,79,53,6040
Hispanic,Math,60,24,6040
Two or more races,Math,83,52,6040
Asian,Math,89,72,6040
All students,English,73,48,6040
White,English,74,64,6040
Hispanic,English,63,37,6040
Two or more races,English,78,63,6040
Asian,English,82,75,6040
All students,Science,94,53,6040
White,Science,94,74,6040
Hispanic,Science,93,40,6040
Two or more races,Science,92,72,6040
All students,Math,47,37,6294
Hispanic,Math,36,24,6294
Filipino,Math,68,57,6294
White,Math,55,53,6294
Two or more races,Math,61,52,6294
Black,Math,31,18,6294
Asian,Math,83,72,6294
All students,English,66,48,6294
Hispanic,English,59,37,6294
Filipino,English,78,70,6294
White,English,74,64,6294
Two or more races,English,78,63,6294
Black,English,53,31,6294
Asian,English,84,75,6294
All students,Science,65,61,6294
Hispanic,Science,55,49,6294
Filipino,Science,84,79,6294
White,Science,68,78,6294
Two or more races,Science,87,75,6294
Black,Science,41,43,6294
Asian,Science,85,85,6294
All students,Math,17,37,112
Hispanic,Math,12,24,112
Black,Math,10,18,112
Asian,Math,35,72,112
Filipino,Math,45,57,112
Pacific Islander,Math,8,30,112
White,Math,18,53,112
All students,English,29,48,112
Hispanic,English,23,37,112
Black,English,37,31,112
Asian,English,50,75,112
Filipino,English,50,70,112
Pacific Islander,English,25,42,112
White,English,47,64,112
All students,Science,41,61,112
Hispanic,Science,34,49,112
Black,Science,60,43,112
Filipino,Science,70,79,112
Asian,Science,46,85,112
All students,English,84,48,5440
Asian,English,88,75,5440
White,English,81,64,5440
All students,Math,80,37,5440
Asian,Math,87,72,5440
White,Math,77,53,5440
All students,Science,92,57,5440
Asian,Science,96,78,5440
White,Science,84,74,5440
All students,Math,46,37,12561
White,Math,48,53,12561
Hispanic,Math,36,24,12561
Asian,Math,74,72,12561
Filipino,Math,15,57,12561
Two or more races,Math,50,52,12561
All students,English,57,48,12561
White,English,56,64,12561
Hispanic,English,56,37,12561
Asian,English,87,75,12561
Filipino,English,38,70,12561
Two or more races,English,62,63,12561
All students,Science,71,57,12561
White,Science,70,76,12561
Hispanic,Science,69,44,12561
Two or more races,Science,79,72,12561
All students,English,57,48,1354
White,English,61,64,1354
Hispanic,English,48,37,1354
All students,Math,48,37,1354
White,Math,50,53,1354
Hispanic,Math,40,24,1354
