Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
Two or more races,Math,39,52,12386
Filipino,Math,75,57,12386
Asian,Math,73,72,12386
All students,English,42,48,12386
Hispanic,English,34,37,12386
White,English,54,64,12386
Black,English,18,31,12386
Two or more races,English,50,63,12386
Filipino,English,75,70,12386
Asian,English,73,75,12386
All students,Science,52,53,12386
Hispanic,Science,39,40,12386
White,Science,66,74,12386
Black,Science,13,36,12386
All students,Science,53,50,31013
Hispanic,Science,50,37,31013
Black,Science,33,32,31013
White,Science,80,68,31013
All students,English,57,48,31013
Hispanic,English,53,37,31013
Black,English,59,31,31013
All students,Math,24,37,31013
Hispanic,Math,20,24,31013
Black,Math,14,18,31013
All students,English,75,48,6092
White,English,81,64,6092
Hispanic,English,43,37,6092
Asian,English,82,75,6092
Two or more races,English,83,63,6092
All students,Math,71,37,6092
White,Math,75,53,6092
Hispanic,Math,45,24,6092
Asian,Math,87,72,6092
Two or more races,Math,91,52,6092
All students,Science,84,61,6092
White,Science,86,78,6092
Hispanic,Science,68,49,6092
Asian,Science,91,85,6092
All students,Math,79,37,32174
White,Math,78,53,32174
Hispanic,Math,83,24,32174
Two or more races,Math,77,52,32174
All students,English,83,48,32174
White,English,82,64,32174
Hispanic,English,91,37,32174
Two or more races,English,77,63,32174
All students,Science,95,53,32174
White,Science,93,74,32174
All students,Math,40,37,6142
Hispanic,Math,34,24,6142
White,Math,58,53,6142
Black,Math,36,18,6142
All students,English,45,48,6142
Hispanic,English,35,37,6142
White,English,58,64,6142
Black,English,36,31,6142
All students,Science,64,53,6142
Hispanic,Science,50,40,6142
All students,Math,27,37,6145
Hispanic,Math,22,24,6145
Black,Math,23,18,6145
Filipino,Math,63,57,6145
Two or more races,Math,18,52,6145
All students,English,35,48,6145
Hispanic,English,33,37,6145
Black,English,21,31,6145
Filipino,English,69,70,6145
Two or more races,English,45,63,6145
All students,Science,35,53,6145
Hispanic,Science,25,40,6145
All students,English,74,48,6152
White,English,85,64,6152
Hispanic,English,60,37,6152
Black,English,58,31,6152
Two or more races,English,75,63,6152
Asian,English,91,75,6152
All students,Math,75,37,6152
White,Math,91,53,6152
Hispanic,Math,56,24,6152
Black,Math,50,18,6152
Two or more races,Math,71,52,6152
