2015-2016 AP Score Composite
3.525
3.39
3.265
3.19
3.12
3.12
3.055
2.99
2.945
2.88
2.83333333333
2.78
2.77
2.75666666667
2.7
2.66333333333
2.61333333333
2.51666666667
2.39
2.22
2.11
1.96
1.95
