studentsNumber,outOf5Stars,url,grades,lowIncomeRaceDisbilityJson,schoolTitle,totalNumReviews,StarBreakout,types
366,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5843-Montgomery-John-J.-Elementary-School/?s_cid=gsapi,K-6,,Montgomery (John J.) Elementary School,6,"4,1,0,1,0",Public
"1,164",4 out of 5 stars,https://www.greatschools.org/california/oceanside/6322-Madison-Middle-School/?s_cid=gsapi,6-8,,Madison Middle School,22,"9,6,1,1,3",Public
585,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6217-Pacific-Beach-Middle-School/?s_cid=gsapi,6-8,,Pacific Beach Middle School,58,"23,8,1,3,10",Public
722,3 out of 5 stars,https://www.greatschools.org/california/carlsbad/31104-Sage-Creek-High-School/?s_cid=gsapi,9-12,,Sage Creek High School,60,"8,1,0,6,4",Public
"1,037",3 out of 5 stars,https://www.greatschools.org/california/chula-vista/11097-Arroyo-Vista-Charter-School/?s_cid=gsapi,K-8,,Arroyo Vista Charter School,63,"10,3,6,0,8",Public charter
411,2 out of 5 stars,https://www.greatschools.org/california/chula-vista/5826-Castle-Park-Elementary-School/?s_cid=gsapi,K-6,,Castle Park Elementary School,8,"2,0,1,0,5",Public
526,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5828-Chula-Vista-Hills-Elementary-School/?s_cid=gsapi,K-6,,Chula Vista Hills Elementary School,52,"23,6,4,3,2",Public
"1,325",4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5827-Chula-Vista-Learning-Community-Charter-School/?s_cid=gsapi,K-12,,Chula Vista Learning Community Charter School,45,"17,3,3,1,7",Public charter
500,5 out of 5 stars,https://www.greatschools.org/california/chula-vista/5829-Clear-View/?s_cid=gsapi,K-6,,Clear View,23,"15,1,0,0,2",Public
889,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5831-Discovery-Charter-School/?s_cid=gsapi,K-8,,Discovery Charter School,44,"16,3,2,2,6",Public charter
